ID_Candidato,Nombre,Biografia,Tiene_Renuncia,Observaciones
LAURA MARIA YUSEF,"Yusef, Maria Laura",Secretaria en el Ministerio de educación. Actriz. Podologa.,NO,
DAFNE KWIST,"Kwist, Dafne",Fue encargada del departamento de peñas durante el gobierno de Alberto Guil (2001 - 2004). Candidata a vocal en el 2004 por Dignididad por San Lorenzo y fue vocal en 2012 hasta agosto por la agrupación oficialista de Carlos Abdo. Acompañó a Sergio Costantino en sus listas (2022 y 2023). Candidata a vocal por San Lorenzo en Marcha,NO,
FERNANDEZ GUSTAVO QUIROZ,"Fernandez Quiroz, Gustavo",Contador Público (UBA). Desde 2004 es Gerente de Administración y Finanzas en Prokete Argentina S.A. Es padre del asambleista Santiago Fernández Quiroz. Acompaña a Marcelo Culotta en sus listas desde el 2023,NO,
DELAMER JULIAN,"Delamer, Julian","Economista (UTDT), con un MBA en London Business School, Posgrado en Finanzas Corporativas de la UDESA y BA en Economía en la UTDT. Vicepresidente ejecutivo de Compass Lexecon, con más de 20 años de experiencia en economía financiera. Especialista en arbitrajes internacionales",NO,
FULCO GUSTAVO RAMOS,"Fulco Ramos, Gustavo","Doctor en discapacidad de la Universidad Favaloro, Profesor investigador de la UADE, Magister en gestión de la comunicación de la Universidad Austral, asesor parlamentario y escritor.",NO,
JUAN MANUEL VIDAL,"Vidal, Juan Manuel",Contador publico (UBA) 20 años de experiencia en Banco Galicia.,NO,
LAMMENS MATIAS,"Lammens, Matias","Hijo de Néstor Daniel Lammens, ex vicepresidente de la institución. Abogado (UBA) y empresario del sector vitivinícola. Inició su participación política en 2010 y asumió la presidencia en 2012 respaldado por Marcelo Tinelli. Su primera etapa se caracterizó por éxitos deportivos históricos, destacando el Torneo Inicial 2013, la Copa Libertadores 2014 y la Supercopa Argentina 2015, además de la recuperación institucional con la vuelta a Boedo y la construcción del Polideportivo Roberto Pando. Fue reelecto en 2016 con el 88% de los votos. Esta segunda etapa enfrentó mayores desafíos, incluyendo un aumento del pasivo financiero and deudas por transferencias que afectaron la competitividad del fútbol profesional. Durante este periodo se concretó la compra de terrenos en Av. La Plata, aunque con limitaciones espaciales para el proyecto del estadio. En 2019, Lammens incursionó en la política nacional como Ministro de Turismo y Deportes, manteniendo un rol de vicepresidente en el club. Su intento de retorno a la política activa del club en 2025 bajo la agrupación ""Revolución Azulgrana"" fue objeto de críticas por parte de sectores de la masa societaria que cuestionaron la falta de transparencia de su estrategia. Actualmente se desempeña como legislador de la Ciudad de Buenos Aires.",SI,Renuncia / Fin de mandato anticipado - Fallecimiento
ALEJANDRO CAMBAS,"Cambas, Alejandro",,NO,
MIGUEL PAREJA SEBASTIAN,"Pareja, Sebastian Miguel",,NO,
FERRONATO JORGE,"Ferronato, Jorge",Rector del CBC de la UBA,NO,
